source,year,month,main_item,item,amount_thousand_try
balance,2015,1,Harcamalar,Harcamalar,36341779.0
balance,2015,2,Harcamalar,Harcamalar,42510948.0
balance,2015,3,Harcamalar,Harcamalar,39761196.0
balance,2015,4,Harcamalar,Harcamalar,41596599.0
balance,2015,5,Harcamalar,Harcamalar,40113187.0
balance,2015,6,Harcamalar,Harcamalar,36337693.0
balance,2015,7,Harcamalar,Harcamalar,45505905.0
balance,2015,8,Harcamalar,Harcamalar,37545889.0
balance,2015,9,Harcamalar,Harcamalar,47937462.0
balance,2015,10,Harcamalar,Harcamalar,36562457.0
balance,2015,11,Harcamalar,Harcamalar,43008550.0
balance,2015,12,Harcamalar,Harcamalar,59083428.0
balance,2015,1,Harcamalar,1-Faiz Hariç Harcama,31326769.0
balance,2015,2,Harcamalar,1-Faiz Hariç Harcama,35622371.0
balance,2015,3,Harcamalar,1-Faiz Hariç Harcama,33573405.0
balance,2015,4,Harcamalar,1-Faiz Hariç Harcama,35509909.0
balance,2015,5,Harcamalar,1-Faiz Hariç Harcama,36266501.0
balance,2015,6,Harcamalar,1-Faiz Hariç Harcama,34646671.0
balance,2015,7,Harcamalar,1-Faiz Hariç Harcama,40453091.0
balance,2015,8,Harcamalar,1-Faiz Hariç Harcama,33927505.0
balance,2015,9,Harcamalar,1-Faiz Hariç Harcama,41559211.0
balance,2015,10,Harcamalar,1-Faiz Hariç Harcama,33925128.0
balance,2015,11,Harcamalar,1-Faiz Hariç Harcama,39139548.0
balance,2015,12,Harcamalar,1-Faiz Hariç Harcama,57350745.0
balance,2015,1,Harcamalar,Personel Giderleri,12679357.0
balance,2015,2,Harcamalar,Personel Giderleri,9780454.0
balance,2015,3,Harcamalar,Personel Giderleri,9881832.0
balance,2015,4,Harcamalar,Personel Giderleri,10265039.0
balance,2015,5,Harcamalar,Personel Giderleri,10147342.0
balance,2015,6,Harcamalar,Personel Giderleri,10202392.0
balance,2015,7,Harcamalar,Personel Giderleri,10758735.0
balance,2015,8,Harcamalar,Personel Giderleri,9946150.0
balance,2015,9,Harcamalar,Personel Giderleri,11379078.0
balance,2015,10,Harcamalar,Personel Giderleri,10666849.0
balance,2015,11,Harcamalar,Personel Giderleri,10909222.0
balance,2015,12,Harcamalar,Personel Giderleri,8434962.0
balance,2015,1,Harcamalar,Sosyal Güv.Kur. Devlet Primi,2168343.0
balance,2015,2,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1676051.0
balance,2015,3,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1610182.0
balance,2015,4,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1619720.0
balance,2015,5,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1625757.0
balance,2015,6,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1643714.0
balance,2015,7,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1697081.0
balance,2015,8,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1676267.0
balance,2015,9,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1800358.0
balance,2015,10,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1791072.0
balance,2015,11,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1792734.0
balance,2015,12,Harcamalar,Sosyal Güv.Kur. Devlet Primi,1943502.0
balance,2015,1,Harcamalar,Mal ve Hizmet Alımları,1450388.0
balance,2015,2,Harcamalar,Mal ve Hizmet Alımları,2681522.0
balance,2015,3,Harcamalar,Mal ve Hizmet Alımları,3205525.0
balance,2015,4,Harcamalar,Mal ve Hizmet Alımları,3542765.0
balance,2015,5,Harcamalar,Mal ve Hizmet Alımları,3514050.0
balance,2015,6,Harcamalar,Mal ve Hizmet Alımları,3857424.0
balance,2015,7,Harcamalar,Mal ve Hizmet Alımları,4013079.0
balance,2015,8,Harcamalar,Mal ve Hizmet Alımları,3054921.0
balance,2015,9,Harcamalar,Mal ve Hizmet Alımları,3060238.0
balance,2015,10,Harcamalar,Mal ve Hizmet Alımları,3916147.0
balance,2015,11,Harcamalar,Mal ve Hizmet Alımları,4534624.0
balance,2015,12,Harcamalar,Mal ve Hizmet Alımları,8732708.0
balance,2015,1,Harcamalar,Cari Transferler,12717930.0
balance,2015,2,Harcamalar,Cari Transferler,16057020.0
balance,2015,3,Harcamalar,Cari Transferler,12971923.0
balance,2015,4,Harcamalar,Cari Transferler,16061739.0
balance,2015,5,Harcamalar,Cari Transferler,16055475.0
balance,2015,6,Harcamalar,Cari Transferler,13869427.0
balance,2015,7,Harcamalar,Cari Transferler,17135256.0
balance,2015,8,Harcamalar,Cari Transferler,15074638.0
balance,2015,9,Harcamalar,Cari Transferler,18840092.0
balance,2015,10,Harcamalar,Cari Transferler,12076963.0
balance,2015,11,Harcamalar,Cari Transferler,15241023.0
balance,2015,12,Harcamalar,Cari Transferler,16569542.0
balance,2015,1,Harcamalar,Sermaye Giderleri,1784046.0
balance,2015,2,Harcamalar,Sermaye Giderleri,2245604.0
balance,2015,3,Harcamalar,Sermaye Giderleri,3232537.0
balance,2015,4,Harcamalar,Sermaye Giderleri,2828190.0
balance,2015,5,Harcamalar,Sermaye Giderleri,3497833.0
balance,2015,6,Harcamalar,Sermaye Giderleri,3488709.0
balance,2015,7,Harcamalar,Sermaye Giderleri,5432156.0
balance,2015,8,Harcamalar,Sermaye Giderleri,2643079.0
balance,2015,9,Harcamalar,Sermaye Giderleri,4782019.0
balance,2015,10,Harcamalar,Sermaye Giderleri,3966670.0
balance,2015,11,Harcamalar,Sermaye Giderleri,5247863.0
balance,2015,12,Harcamalar,Sermaye Giderleri,18050423.0
balance,2015,1,Harcamalar,Sermaye Transferleri,181817.0
balance,2015,2,Harcamalar,Sermaye Transferleri,1191668.0
balance,2015,3,Harcamalar,Sermaye Transferleri,420265.0
balance,2015,4,Harcamalar,Sermaye Transferleri,400178.0
balance,2015,5,Harcamalar,Sermaye Transferleri,616825.0
balance,2015,6,Harcamalar,Sermaye Transferleri,859054.0
balance,2015,7,Harcamalar,Sermaye Transferleri,613283.0
balance,2015,8,Harcamalar,Sermaye Transferleri,761715.0
balance,2015,9,Harcamalar,Sermaye Transferleri,508534.0
balance,2015,10,Harcamalar,Sermaye Transferleri,950581.0
balance,2015,11,Harcamalar,Sermaye Transferleri,845887.0
