source,year,main_item,item,amount_thousand_try
balance,2015,Harcamalar,Harcamalar,472942746.0
balance,2015,Harcamalar,1-Faiz Hariç Harcama,418942746.0
balance,2015,Harcamalar,Personel Giderleri,119170124.0
balance,2015,Harcamalar,Sosyal Güv.Kur. Devlet Primi,20324876.0
balance,2015,Harcamalar,Mal ve Hizmet Alımları,41152681.0
balance,2015,Harcamalar,Cari Transferler,176424780.0
balance,2015,Harcamalar,Sermaye Giderleri,40955159.0
balance,2015,Harcamalar,Sermaye Transferleri,6797889.0
balance,2015,Harcamalar,Borç Verme,10544604.0
balance,2015,Harcamalar,Yedek Ödenekler,3572633.0
balance,2015,Harcamalar,2-Faiz Harcamaları,54000000.0
balance,2015,Gelirler,Gelirler,451979400.0
balance,2015,Gelirler,1-Genel Bütçe Gelirleri,440997857.0
balance,2015,Gelirler,Vergi Gelirleri,389501090.0
balance,2015,Gelirler,Teşebbüs ve Mülkiyet Gelirleri,9478311.0
balance,2015,Gelirler,Alınan Bağış ve Yardımlar ile Özel Gelirler,1932183.0
balance,2015,Gelirler,"Faizler, Paylar ve Cezalar",28843105.0
balance,2015,Gelirler,Sermaye Gelirleri,10438998.0
balance,2015,Gelirler,Alacaklardan Tahsilat,804170.0
balance,2015,Gelirler,2-Özel Bütçeli İdarelerin Öz Gelirleri,7789211.0
balance,2015,Gelirler,3-Düzen. ve Denet. Kurumların Gelirleri,3192332.0
balance,2015,Denge,Bütçe Dengesi,-20963346.0
balance,2015,Denge,Faiz Dışı Denge,33036654.0
expense_detail,2015,1. Personel Giderleri,1. Personel Giderleri,119170124.0
expense_detail,2015,1. Personel Giderleri,Memurlar,105624997.0
expense_detail,2015,1. Personel Giderleri,İşçiler,6097185.0
expense_detail,2015,1. Personel Giderleri,Sözleşmeli Personel,2806962.0
expense_detail,2015,2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,20324876.0
expense_detail,2015,3. Mal ve Hizmet Alım Giderleri,3. Mal ve Hizmet Alım Giderleri,41152681.0
expense_detail,2015,3. Mal ve Hizmet Alım Giderleri,a) Savunma-Güvenlik,12525711.0
expense_detail,2015,4. Cari Transferler,4. Cari Transferler,176424780.0
expense_detail,2015,4. Cari Transferler,KİT Görevlendirme Giderleri,2076500.0
