main_item,item,actual_2025_bn_try,planned_2025_bn_try,realization_pct,years_found,selected
1. Personel Giderleri,1. Personel Giderleri,3634.0,3475.5,105,12,ana kalem
1. Personel Giderleri,Memurlar,2880.7,2756.8,104,12,evet
1. Personel Giderleri,İşçiler,370.9,327.4,113,12,evet
1. Personel Giderleri,Sözleşmeli Personel,281.6,274.4,103,12,evet
1. Personel Giderleri,Geçici ve Diğer Personel,100.8,116.9,86,12,hayır
2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,454.5,435.0,104,6,ana kalem
2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,Memurlar,324.4,310.7,104,12,hayır
2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,İşçiler,77.3,67.9,114,12,hayır
2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,Sözleşmeli Personel,29.4,30.1,97,12,hayır
2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,Geçici ve Diğer Personel,23.5,26.3,89,12,hayır
3. Mal ve Hizmet Alım Giderleri,3. Mal ve Hizmet Alım Giderleri,1072.9,1023.7,105,12,ana kalem
3. Mal ve Hizmet Alım Giderleri,a) Savunma-Güvenlik,355.5,385.6,92,12,evet
3. Mal ve Hizmet Alım Giderleri,Milli Savunma Bakanlığı,275.5,305.0,90,12,hayır
3. Mal ve Hizmet Alım Giderleri,Jandarma Genel Komutanlığı,40.0,40.1,100,12,hayır
3. Mal ve Hizmet Alım Giderleri,Emniyet Genel Müdürlüğü,39.9,40.5,98,12,hayır
3. Mal ve Hizmet Alım Giderleri,b) Sağlık Giderleri,5.3,4.2,128,12,hayır
3. Mal ve Hizmet Alım Giderleri,Kamu Personeli Sağlık Giderleri,2.6,2.5,106,12,hayır
3. Mal ve Hizmet Alım Giderleri,Tedavi ve Sağlık Malzemesi Giderleri,2.7,1.7,158,6,hayır
3. Mal ve Hizmet Alım Giderleri,c) Borçlanma Genel Giderleri,14.0,30.1,46,12,hayır
3. Mal ve Hizmet Alım Giderleri,d) Diğer Mal ve Hizmet Alım Giderleri,698.1,603.8,116,12,hayır
4. Cari Transferler,4. Cari Transferler,5408.6,5813.4,93,12,ana kalem
4. Cari Transferler,a) Görevlendirme Giderleri,699.2,772.0,91,6,hayır
